Sr. no.,Post,HRV Result,HRV Type
166,"Рано утром с территории Украины было обстреляно село Кистёр Погарского района Брянской области. Повреждены дорога и ЛЭП.

@voenkorKotenok",Yes,B
168,"[​](https://telegra.ph/file/37f9251543f7585c82a99.jpg)**«Хватит, господа, на сегодня дуэлей» **👻

Генсек ООН Антониу Гутерриш [призвал прекратить](https://www.ohchr.org/en/statements/2022/07/ukraine-high-commissioner-updates-human-rights-council) любую военную деятельность вокруг Запорожской АЭС и создать вокруг нее демилитаризованную зону.

Вообще **ООН — едва ли не единственная из крупных международных организаций, занявшая в конфликте Украины и России относительно адекватную позицию** без подмахивания одной и той же стороне. К примеру, именно ООН первой (и пока единственной) обратила внимание на массовые репрессии в Украине и тот факт, что военные используют мирных жителей в качестве живого щита (тут, правда, еще и «Эмнести Интернешенел» [недавно подключилась](https://t.me/montyan2/2286)). Также ООН «топит» за инспекцию МАГАТЭ на #ЗАЭС (а против нее категорически выступают салорейховцы, которым стабилизация обстановки на станции по многим причинам невыгодна).

**Увы, с ООН есть одна проблема: на ее мнение, рекомендации и озабоченность всем плевать с высокой колокольни.** Вышеупомянутые заявления некогда уважаемой организации в Салорейхе вообще даже не потрудились прокомментировать. Для сравнения, можно вспомнить истерику, которая охватила салорейховский истеблишмент, когда аналогичные заявления сделала «Эмнести Интернешенел». 

Так что и нынешнее заявление Гутерриша, скорее всего, не будет иметь никаких последствий вообще. Просто белый шум, не имеющий влияния ни на что.

★ [Канал #МОНТЯН!](https://t.me/+KZ9Qi833lHFhNjJi)
­",Yes,A
170,"Сообщается о ракетных ударах по объектам, используемым ВСУ, в г. Сарны, Ровенская область. Минимум четыре взрыва. В настоящий момент наблюдается сильный пожар.

@voenkorKotenok",Yes,B
175,"В Перу взлетавший самолёт столкнулся в аэропорту с проезжавшей машиной.

Самолет Airbus A320 авиакомпании LATAM Airlines, совершавший рейс из Лимы в Хулиаку, врезался в пожарный автомобиль во время взлёта в международном аэропорту Хорхе Чавеса.

По данным местных СМИ в результате столкновения погибли двое пожарных. Среди пассажиров самолёта никто не пострадал.",Yes,A
4,"Школа в Херсоні, де було бомбосховище",Yes,B
6,"В Иране неизвестные расстреляли машину бригадного генерала, возглавляющего части ""Корпуса стражей исламской революции"" в приграничной с Афганистаном и Пакистаном провинции Систан и Белуджистан. При теракте погиб водитель, сам военный не пострадал. По заявлению властей Ирана, нападавшие задержаны, однако информации об их причастности к какой-либо действующей в регионе группировки нет.

Провинция Систан и Белдужистан [является](https://t.me/directorate4/8127) для Ирана [проблемной](https://t.me/directorate4/11423) с точки зрения безопасности.",Yes,C
10,"**‼️🇺🇦🏴‍☠️Мать убитого ВСУшника на коленях умоляет захватчика из ПЦУ дать отпеть сына и не отбирать храм

**__""Если вы верите в Бога, на коленях вас прошу, оставьте церковь, дайте сына отпеть!""

__Мать погибшего под Артёмовском украинского боевика на коленях умоляет захватчика из раскольнической секты ПЦУ не отбирать у УПЦ храм до субботы, чтобы она могла отпеть сына по православному обряду.

💤Бог оставил эту страну, им уже ничего не поможет",Yes,A
12,"**Новое руководство СВО сделало все необходимые выводы — мой комментарий **[**РИА ФАН**](https://riafan.ru/23703558-hrenin_zayavil_chto_belorussiya_ne_planiruet_ni_na_kogo_napadat)**.

**Массированные атаки ракетами и дронами говорят прежде всего о том, что русская армия наконец-то взялась за дело всерьез. Удары ВКС России по украинской энергетике — это, безусловно, важный элемент нового этапа военной спецоперации. Это — прямое свидетельство того, что Россия начинает по-настоящему отвечать на те угрозы, которые возникли на ее юго-западных рубежах. 

Правда, с моей точки зрения, дроны «Герань-2» гораздо эффективнее использовать не в глубоком тылу противника, а по боевым порядкам ВСУ. Прежде всего — по первому и второму эшелону обороны, по укрепленным огневым точкам, по артиллерийским батареям, которые ведут огонь по северу Донбасса, по нашим позициям под Херсоном и Запорожьем.

Самое главное — это нейтрализовать тот боевой потенциал, который Украина сегодня имеет благодаря западным поставкам вооружений. Одной из главных целей для наших дронов должны стать мобильные комплексы «Хаймарс», которые наносят едва ли не самый большой ущерб нашим войскам, складам боеприпасов и гражданской инфраструктуре в новых регионах РФ.

Кроме того, атакам дронов должны подвергаться французские и немецкие САУ на колесном шасси, а также новые западные системы ПВО, которые перебрасывают на Украину. Все это представляет достаточно большую опасность для наших войск, и все это нужно планомерно выводить из строя. Боевой массы в 50 килограммов тротила, которой обладает «Герань-2», вполне хватает для этих целей.

Что же касается ударов по тыловым объектам Украины, то здесь необходим гораздо больший объем боевой массы, нежели тот, которым обладают дроны. В связи с этим очень актуально поражение мостов через Днепр, который искусственно разделяет Украину на две части. 

Пока все мосты целы, противник имеет возможность логистически взаимодействовать между двумя частями страны. Причем эти мосты построены еще при СССР, крепко и на совесть, поэтому боевой массы беспилотника для их подрыва явно недостаточно. Здесь нужны боеприпасы повышенной мощности, а это либо авиабомбы, либо ракеты с повышенной мощностью боеголовок.

Следующей целью для атак ВКС РФ должны стать железные дороги, тоннели и логистические терминалы. Честно говоря, для меня большая загадка, почему ВКС России до сих пор не наносят удары по железнодорожной инфраструктуре Украины. Именно по железной дороге противник сегодня сохраняет возможность маневрировать резервами, перебрасывать живую силу с одного направления на другое. 

Буквально на днях в сводках проходила информация, что с Харьковского направления Киев снимал определенные подразделения и части и перебрасывал их на юг, на Николаево-Криворожское направление. И все это он делал самым проверенным, можно сказать, дедовским способом — по железной дороге. Она для ВСУ по-прежнему надежна, позволяет личному составу отдохнуть в пути и т. д. У меня нет ответа на вопрос, почему наши ВКС до сих пор не бьют по путям, железнодорожным станциям, локомотивным депо, по тяговым подстанциям и т. д. Это необходимо делать параллельно с поражением энергетических объектов Украины.

Сегодня уже понятно, что никто не будет останавливаться на полпути и почивать на лаврах, это просто смертельно опасно. Наша задача — нанести тяжелое военное поражение Украине, в полном смысле, со всеми вытекающими последствиями. А это можно сделать, только полностью разрушив инфраструктуру, которая подпитывает ВСУ. Русская армия должна лишить их возможности пользоваться электроэнергией и интернетом, подпитывать свои системы связи, лишать все их пункты управления тех базовых вещей, без которых это управление невозможно.

Это — классика ведения боевых действий. До этого, на протяжении семи месяцев, мы фактически воевали вполоборота и спустя рукава, и вполне логично, что эта тактика не принесла нужного результата. Полагаю, что с приходом нового руководства военной спецоперацией РФ все необходимые выводы были сделаны.

@voenkorKotenok",Yes,B
24,"ТЕЛА УКРАИНСКИХ ВОЕННЫХ ЛЕЖАТ В МАРЬИНКЕ, ИХ НЕ УСПЕВАЮТ ХОРОНИТЬ. 

К сожалению, ВСУ не выходят с инициативой сбора своих погибших с поля боя и со своих разбитых позиций. 

Корпусная и Российская артиллерии, самолеты, «Солнцепеки» бьют так, что многие бойцы ВСУ не успевают ни сдаться, ни отойти назад. 

Территория контроля ВСУ уменьшается.",Yes,A
28,"Выехал из Мурома, Белгородской области, который полдня находился под обстрелом. Сидел вместе с главой Шебекинского района в подвале детского сада, по которому над нашими головами зачем-то работала артиллерия ВСУ. Попали с торца, в крышу, над входом в подвал. 

Через какое-то время наши включили ответку. По противнику от Мурома отработала фронтовая авиация. В рамках среднего уровня реагирования 😉

Подробное видео из Мурома чуть позже.

@sashakots",Yes,B
35,"В Сомали при проведении КТО в провинции Хиран военнослужащие ВС страны ликвидированы более семидесяти боевиков связанной с ""Аль-Каидой"" группировки Аш-Шабаб"". Операция прошла накануне неподалеку от н.п. Ясоман. Также военным удалось освободить мирных жителей и выбить джихадистов из нескольких поселений, которые они ранее захватили. КТО является частью масштабных антитеррористических мероприятий силовиков в регионе.",Yes,A
39,"Уставшие от съемок под палящим солнцем мы с Пашкой идем с площади Октябрьской Революции в располагу возле СБУ-шки в Славянске. Подлетает то ли Нива, то ли какой-то китайский внедорожник, не помню уже. Из тачки выходят трое ополченцев с автоматами. Всматриваюсь в одного из них - поразительно похож на физрука в детском лагере ""Кораблик"" в поселке Малореченское под Алуштой. Я отдыхал там несколько раз, был тогда еще подростком

Позже, уже после выхода нашей группировки из Славянска, мы пересеклись в Донецке. Это был действительно физрук из ""Кораблика"" - Сергей Коренченков из Севастополя. И он меня тогда в Славянске узнал, но, как выяснилось, постеснялся сказать об этом, потому что не помнил имени. Вот такая Земля круглая. Он был журналистом ""Информационного корпуса"". Спустя несколько дней после этой встречи он погиб под Снежным вместе с Андреем Вячало и Андреем Стениным

Сегодня мы вспоминаем наших коллег, погибших при исполнении служебных обязанностей. Царствие небесное пацанам. Мы помним каждого!

@Makarr80",Yes,A
43,"**🇷🇺🎖Трагические кадры гибели русского Героя: тяжелораненый в бою командир группы ЧВК с позывным Чердаш, чтобы не попасть в плен к нацистам, оставаясь верным Родине, направляет пулю в своё сердце... 

**/Кадры с ВСУшного квадрокоптера публикуют киевские ресурсы.../",Yes,D
44,"**🤔Тим часом, Буданов розповів про долю полоненого пілота ""__альонку__"" Красноярцева, якого взяли ще 5 березня

**За словами очільника ГУР, цей ворожий пілот був обміняний 4-5 місяців тому на декількох українських льотчиків.

Ймовірно така цінність Красноярцева викликана його великим досвідом у 🇸🇾Сирії та тим фактом, що йому [було повідомлено](https://t.me/DeepStateUA/12085) про підозру в порушенні звичаїв ведення війни та загрожував повноцінний термін. 

__У підсумку в обмін на цю тушку м'яса, додому повернулось декілька наших хлопців-героїв, що не може не радувати. 

__[Магазин](https://deepstateua.shop/)▫️[Блог](https://deepstateua.com/)▫️[Мапа](https://deepstatemap.live/)▫️[Написати нам▫️](http://t.me/newsDeepStatebot)[Звіти](https://help.deepstateua.com/)▫️[ЗСУHelp](https://t.me/help_deepstateua)",Yes,D
46,"Зеленский жалуется на прилёты по Киеву и другим городам. 
А как ты, лох-Зеленский, думал: тебе можно, а другим нельзя?
То есть восемь лет бомбить мирных людей, уничтожать инфраструктуру городов ЛДНР, покрывать снарядами атомную станцию, взрывать мосты, обстреливать важные объекты было можно, а как прилетело на твою голову, так вдруг стало никому нельзя?

Мы предупреждали тебя, Зеленский, что Россия по-настоящему еще и не начинала, так что хватит жаловаться как дешёвка, а лучше, пока не прилетело, беги. Беги, Зеленский, беги, не оглядываясь в сторону Запада. 

Вот теперь я на все сто процентов доволен проведением СВО.",Yes,B
47,"Четыре человека погибли, еще более 20 пострадали при взрыве газа в студенческом общежитии на севере Ирака.",Yes,A
48,"🇷🇺🇺🇦 **Обстановка на Николаевско-Криворожском направлении 
**__по состоянию на 14.30 14 сентября 2022 года

__На данный момент линия фронта осталась без изменений. ВСУ вчера предприняли очередные провальные попытки наступления на российские позиции.

🔻 На **Андреевском** участке украинское командование после неудачного штурма позиций ВС РФ в районе **Брускинского** проводит эвакуацию раненых, а также перегруппировку сил и средств.

Подразделения 46 оаэмбр ВСУ отвели подчинённые силы из района **Белогорки** на запасные позиции на противоположном берегу реки **Ингулец** для восстановления боеспособности. 

Военнослужащие 35 обрмп ВСУ удерживают позиции в окрестностях **Андреевки**. Под огневым прикрытием артиллерии на опорные пункты осуществляется поставка вооружения, боеприпасов и медикаментов.

🔻 На **Посад-Покровском** участке подразделения 59 омпбр и 24 омбр ВСУ после провала наступления на **Терновые Поды** заняли оборонительные позиции.  

На рубеже **Новогригоровка** — **Мирное** проводится ротация украинского личного состава 59 бригады. В окрестностях **Максимовки** действует украинский БЛА.

Кроме того, во второй половине дня 13 сентября украинские подразделения в количестве **60** человек, **четырех** БМП и **трёх** танков попытались закрепиться у **Давыдова Брода**. В ходе непродолжительного боестолкновения штурм был отбит, ВСУ с потерями отступили. 

🔻 На **Снигиревском** участке спокойно: ВСУ не предпринимают попыток наступления.

🔻 На **Ольгинском** участке ВСУ силами **роты** 60 опбр и **двух** танковых взводов 17 отбр предпринял попытку штурма **Костырки**. А военнослужащие 3 сводного батальона 60 опбр наступали на **Миролюбовка** — **Осокоровка** с поддержкой ДРГ в окрестностях **Новопетровки**. 

Перед этим украинские авиация и артиллерия провели обстрел российских позиций в **Новопетровке**, **Архангельском**, **Нововознесенском** и **Веремиевки**. 

Российские войска нанесли массированные удары по наступающим силам ВСУ. Украинские войска понесли потери и отступили в район **Потемкино**. Поврежденная техника эвакуирована в **Малую Костромку**.

[**Карта в большом разрешении

**](https://i.ibb.co/7vDRjSQ/14-09-RU.jpg)@rybar",Yes,A
50,"**После взрывов в Днепре погибли 2 человека: один в автомобиле, второй — на мойке рядом с заправкой. Ещё 2 человек удалось спасти

**Видео с места происшествий опубликовал Кирилл Тимошенко.

**UPD: **По данным Главы ОВА, еще трое людей получили ранения. 

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,A
51,"**Медвежонка на трассе под ХМАО расстреляли доставщики воды

**Вероятно, медвежонок отбился от мамы и вышел из леса на трассу в ХМАО под поселком Салым. Косолапый агрессии не проявлял, мирно проходил через дорогу, пока рядом не остановился** УАЗ компании доставки воды Salym aqua. 

**Из машины вышли несколько мужчин, достали оружие и начали стрелять по медвежонку. Это зафиксировал на видео один из водителей, который хотел покормить косолапого, пока не началась пальба. Буквально через несколько секунд косолапый перестал двигаться. Мужчины, увидев, что их снимают, подошли к водителю и потребовали удалить ролик. По словам очевидцев, браконьеры загрузили мишку в багажник и увезли. 

Полиция подтвердила Readovka факт произошедшего — правоохранители занимаются поиском живодеров. На ситуацию также отреагировал глава ФПБК Виталий Бородин. Он обратился к главе МВД России Владимиру Колокольцеву с просьбой привлечь преступников к ответственности по всей строгости закона.",Yes,C
52,"Суета на дорогах Рязани: водила подошёл к своему оппоненту, **залил его перцем**, после чего** размазал по автомобилю**. 

Поехавшего сейчас ищет полиция, а у жертвы сломаны кости таза",Yes,A
54,Друзі! Ввечері ворог обстріляв Київ. Два влучання в Шевченківському районі. Всі служби на місці. Інформація про постраждалих  уточнюється.,Yes,A
57,"В Сомали при теракте в провинции Гедо погибли пять военнослужащих ВС Эфиопии, еще восемь получили ранения. Террористы привели в действие придорожное СВУ, когда мимо него проезжал военный конвой, а затем вступили в перестрелку с военнослужащими. Ответственность за нападение взяла связанная с ""Аль-Каидой"" группировка ""Аш-Шабаб"". Это уже второй с начала недели теракт против иностранных военных в Сомали. Ранее джихадисты совершили нападение на расположение [ВС Бурунди](https://t.me/directorate4/12388).",Yes,A
68,"Ещё раз для тех, кто ну совсем не в зуб ногой. Если обстрелы выгодны Киеву и откровенно вредят Москве, то кто ж, блин, обстреливает? 

Это не говоря уж о том, что я прекрасно слышу, что и откуда летит.

https://t.me/sashakots/33801",Yes,B
75,"**__«Доводилось один сухарь делить на двоих»

__**Пленный ВСУшник рассказал, как командование бросило его с сослуживцами на позициях на неопределенный срок без еды и воды.

__«Мы просто сидели в холоде, в голоде. Было такое, что в два дня по 100 грамм воды у нас на человека было. Дойти туда было тяжело, потому что работал пулеметчик. Если дойти удавалось туда на базу, не всегда продукция была. Потому что сразу все растаскивали. 

Нам доводилось один сухарь делить на двоих. Как со скотами относились. Как у нас говорят на Украине, вас на мясо кинули. Именно то и происходило»__, — рассказал военнопленный Евгений Кривливый. 

По его словам, украинское командование ничего им не объясняло, просто приказав «стоять и обороняться». Когда российские военнослужащие пришли, они «просто подняли руки и сдались в плен».

__«Нас ребята привезли, переночевали на камине, дали воды, дали чаю попить горячего, все отлично»__, — добавил он

✅[Спецоперация на Украине](https://t.me/specops2022). ✅[Подписаться](https://t.me/specops2022)✅",Yes,D
76,"Наш корреспондент побывал в Геленджике, где встретился с бывшими заключенными, участниками боевых действий в Донбассе, которые получили помилование. Сейчас они находятся на реабилитации после ранений.

С 2015 года на этот объект прибывают на восстановление бойцы «ЧВК Вагнера». 

Ранее оппозиция называла этот санаторный комплекс дачей Пригожина.

@riafan_everywhere",Yes,A
80,"СЕГОДНЯ БЫЛ САМЫЙ ТЯЖЕЛЫЙ УДАР УКРАИНСКОЙ АРТИЛЛЕРИИ ПО ДОНЕЦКУ. 

По потерям пока информация такая, чудом, никто не пострадал.",Yes,A
87,"⚡️Суровикин: 

На Херсонском направлении непростая ситуация. Противник наносит удары по критической инфраструктуре. В Херсоне проблемы с водо- и электроснабжением. Это прямая угроза жизням мирных жителей.

У нас есть данные о возможности использования ВСУ запрещенных боеприпасов, ударов по плотине Каховской ГЭС, массированных ракетных атак.

В этих условиях Армия обеспечит безопасный выезд населения по программе переселения. Дальнейшие наши действия будут зависеть от складывающейся ситуации. Она сегодня уже непростая. Сохранение жизней для нас приоритет. Не исключаю принятия самых непростых решений.

@sashakots",Yes,A
88,"В Чернигове укры решили устроить **выставку боеприпасов** на которой сдетонировал один из снарядов. Как результат: 8 пострадавших (4 взрослых и 4 детей, один из которых, двухлетний мальчик, находится в больнице в тяжелом состоянии). А журналистка сразу вспомнила родной русский)))

@NeoficialniyBeZsonoV",Yes,A
96,"❗️**Очередной фейк киевских властей**.

__«Мелитополь – вторая Чернобаевка. Накрыли мелитопольский аэродром, тоже с пунктом управления. Рвалось часа два»__ – заявил советник руководителя ОП Арестович. 

Очередное __«переможное»__ заявление Арестовича опровергают даже сами жители Мелитополя. **Никто никаких взрывов не слышал**, хотя аэродром находится на окраине населенного пункта. 

В городе продолжается ускоренное **восстановление мирной жизни**, ибо Мелитополь практически не пострадал от боевых действий. **На улицах кипит жизнь, люди спешат по своим делам**. 

@warjournaltg",Yes,A
107,"Сергей Шойгу провел переговоры с британским министром обороны Беном Уоллесом.

Обсуждалась ситуация на Украине и возможность провокаций со стороны Украины с применением «грязной бомбы», сообщает Минобороны РФ.

Ранее сегодня Шойгу провел телефонные переговоры с министрами обороны Франции и Турции, где обсуждалась аналогичная тема.",Yes,B
110,"**Допрос взятого в плен всушника и диалоги по Тарантино:

**__- Мы не знаем, кто у них командир.
- Ну это неправда.
- Серьёзно. Командиры меняются. Мы щас, у нас щас… командир… сержант. Вот на сердце ложу!__",Yes,D
114,"В сети появилась видеозапись [крушения](https://t.me/directorate4/13711) самолета Су-25 ВВС Мали в аэропорту г. Гао. По уточненным данным, жертвами авиакатастрофы, помимо летчика, стал один человек, еще десять получили ранения.",Yes,A
122,"Трое жителей Астраханской области погибли при украинском обстреле волонтерского центра в Шахтерском районе ДНР. Об этом сообщил губернатор региона Игорь Бабушкин. Погибших звали Александр Матвеев, Георгий Шерстюков и Александр Ховрико.

@voenkorKotenok",Yes,A
131,"**Многих интересует, что будет если оккупанты ударят по дамбе Киевского Водохранилища?

**[По словам](https://kiev.vgorode.ua/news/sobytyia/a1219552-proryv-damby-kievskoho-vodokhranilishcha-kakie-mohut-byt-posledstvija) киевского эколога Василия Кредо, Киевская плотина – один из самых опасных объектов на Земле. Сооружение на 93% является аварийным. Есть даже и приблизительный сценарий, что может произойти после разрушения плотины. По словам эколога, первой погибнет Оболонь – 4-х метровая волна накроет ее через 3 минуты после аварии. Еще через 2 минуты вода доберется до Троещины, через 10 – Подола, через 15 – Русановки. Может достаться и остальной территории Украины – почти 30 городов, сотни поселков и сел будут подтоплены.

❗️Однако, Доктор географических наук, профессор Виктор Вишневский рекомендует не поддаваться панике, а верить науке. Ученый напоминает, что уровень воды в Киевском водохранилище – 103 метра над уровнем моря. А более 90% территории столицы находится на значительно более высоких отметках – обычно 130-160 метров. Ниже 103 метров - только Подол и Оболонь. Однако и этим районам в случае прорыва дамбы не будет угрожать масштабное затопление. 

Инженеры говорят, что Киевская ГЭС может рухнуть только в случае прямого попадания атомной бомбы или метеорита диаметром 100 метров. Сама плотина и станция были спроектированы во времена ""холодной войны"", когда власть не исключала войны с условным Западом. Поэтому не стоит преждевременно волноваться.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",Yes,A
134,"⚡️**Убитых наемников из США сразу же обворовывают украинские боевики** - а погибают они зачастую от ложной информации командования ВСУ. 

__На это жалуются сами же американцы в интервью французскому каналу TV5Monde. 

__У западных «солдат удачи» после такого радушного приема на Украине сразу же пропадает весь пыл и задор и они массово покидают страну.",Yes,A
138,"В дополнение, сегодня на тг-канале Рыбарь было [сообщение](https://t.me/rybar/38816): ""Несколько часов назад ВС РФ нанесли удары по Никополю на правом берегу Каховского водохранилища. Из населенного пункта и его окрестностей ВСУ на протяжении лета обстреливали территорию Запорожской АЭС в Энергодаре.
Это далеко не первый случай налетов на позиции украинских формирований в Никополе, однако нынешняя атака сильно отличается от предыдущих. По словам бойцов ВСУ, на этот раз по целям в городе массово прилетело большое количество беспилотников-камикадзе.
Если информация правда соответствует действительности, то можно предположить, что продукция иранского ВПК постепенно появляется на все большем количестве участков фронта"". 
И вот собственно эти появившиеся фото останков двигателя одного из дронов-камикадзе соответствуют одному из типов двигателей широко применяемых на различных иранских БПЛА - MD550 от иранской Mado (Oje Parvaz Mado Nafar Company). В т.ч. они устанавливаются и на БПЛА Shahed-136, как можно заметить на кадрах из Ирана и Йемена.",Yes,B
142,"**🚀🇷🇺В Белгороде сработала наша система ПВО

**""Оперативные службы уточняют информацию о последствия на земле. Сейчас известно, что разрушений и пострадавших нет"", - сообщил В. Гладков.",Yes,A
151,"🇷🇺🇺🇦 Вывоз пленных украинских военных и боевиков Азова с меткомбината «Азовсталь» в Мариуполе. [ч.3]

@warjournaltg",Yes,D
157,⚡️❗️ВСУ обстреляли села Журавлевка и Нехотеевка Белгородской области,Yes,B
160,"Генштаб укронацистов признал продвижение русских на Славянском направлении: «россияне ведут наступление в направлении населенного пункта Мазановка, имеют «частичный успех».

Переводя на русский — вот-вот наши возьмут Мазановку, от которой до Славянска рукой подать через Былбасовку или Крестище.

Фронт неумолимо приближается к Славянску. Ключевые моменты его освобождения впереди — такие как взятие под контроль сопки Карачун, разрезание славянского и краматорского узлов обороны ВСУ, взятие аэропорта в Краматорске, где 8 лет располагался штаб АТО-ООС укронацистов, где в ямах пытали ополчуг, издевались и насиловали. 

Всё впереди.   

@voenkorKotenok",Yes,C
166,"‼️Оказание медицинской помощи нашими бойцами, все в полевых условиях, в грязи, в экипировке. 

Пострадавший в порядке, доставлен в ПВД.

Подпишись на нас - @rusich_army
ZV🇷🇺",Yes,A
171,"**Зеленский снова просит ЕС не пускать русских в Европу — теперь он сделал исключение для беглых «борцов с режимом», но отдыхать в Европе нельзя даже им

**В очередном видеообращении Зеленский снова обратился к странам ЕС и потребовал запретить въезд русским в страны Европы. Теперь, в отличие от резонансного [интервью](https://t.me/readovkanews/39965) газете Washington Post, он не забыл про «нетвойняшек»: им пусть можно будет в Европу, но только в статусе беженца от «кровавого режима». А отдыхать — ни-ни, русские не заслужили.

__«Может быть только одно отношение к России — как к государству-террористу. И, кстати, именно с этой точки зрения следует определять отношение к гражданам России. Есть люди, которых преследуют в России, могут убить, и их нужно защитить — через беженство, через политическое убежище. Но это для тех, кто борется, кого преследуют. Это не должно касаться отдыха россиян в Европе — туризм, развлечения, бизнес-дела»__, — сказал Зеленский.

Тем не менее, настаивая на отмене шенгенских виз для бизнесменов — «пособников державного террора», сам Зеленский нисколько не тяготится своего [заработка](https://t.me/readovkanews/40090) в российском кинобизнесе.",Yes,A
