Sr. no.,Post,HRV Result
46,"❗️**Мабуть, більшості це відомо. Проте, варто зайвий раз нагадати на свіжому прикладі з Харківщини, що орки мінують дороги та села**. **Треба бути обережним**",No
47,"От винта!

https://t.me/fighter_bomber/8426",No
48,"🔥Mass explosions continue in occupied Sevastopol

🔥 Продолжаются массовые взрывы в оккупированном Севастополе",No
51,"📘**Цікаво ж, що читають орки? Це взагалі рідкість, коли серед них трапляються такі, що читають

**❕«Соврємєнному офіцеру»❕

Автор: Сєргієнко Андрєй Анатолієвіч
Видано 2021

🖌Опис: __Книга написана для действующих офицеров, для молодых людей, которым предстоит встать на офицерский путь, а также для тех, кто проходил военную службу и непосредственно связан с офицерским корпусом.
Книга подскажет, как выстроить линию поведения с подчиненными и руководством, сформировать свой индивидуальный стиль в работе и в своем внешнем виде, поможет достойно организовать офицерское торжество по поводу вручения звания или награды, даст дополнительные знания о правилах поведения в обществе.
Станет хорошим подарком друзьям и сослуживцам, так как содержит в простой и удобной форме много практических советов и интересных заметок.

__🤷🏻‍♂️Мабуть, воно не сильно їм допомагає стати чесними та порядними офіцерами. А першочерговий задум був правильним...",No
52,Добро 🔥🔥🔥,No
53,"В Харьковской области (н.п. Прелесное) эльфы из ВСУ занимаются ~~мародерством~~ сбором средств для нужд ЗСУ. Кто-то даже увел в свой личный гарем 2х овец. Думаю владельцы узнали свои дома и теперь знают, кто их обчистил.

@razved_dozor",No
54,"А так выглядел удар по Днепру сквозь лобовое стекло, с флагом запрещённой УПА на торпеде.",No
55,"❗️**Все санкции, введенные США в последнее время против своих врагов,** **не работают,** **а потому санкционную политику Америки нужно ужесточить и милитаризовать** - бывший советник президента США по национальной безопасности Джон Болтон.

""__Мы не смогли понять, что объекты наших санкций **коварны и изобретательны**""__ — негодует Болтон.

Пишет, что очень коварным оказался Иран, который, как выяснилось, использовал большое количество американских и европейских компонентов для создания своих беспилотников, а кроме того, смог нарастить арсенал баллистических ракет. 

Точно так же санкционная система оказалась **малоэффективной** против России. Выяснилось, что **__""наказать"" Россию так, чтобы избежать роста мировых цен на нефть, невозможно. 

__**""Необходимо менять эту ситуацию, можно, например, создать ""Экономическое командование"", аналогичное Киберкомандованию. Оно могло бы анализировать эффективность тех или иных санкций, ужесточая их в случае необходимости. **__Иначе санкционная политика США становится предметом насмешек во всём мире__**"".

Болтон начал что-то подозревать

[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",No
57,"🤷‍♂️Поляки наконец-то нашли решение проблемы украинских беженцев - половину можно тупо отправить на убой.

Власти страны, под предлогом помощи Киеву, окрыли тренировочные лагеря, куда принудительно отправляют беженцев мужского пола. Таким образом Польша становится главным координатором помощи государству 404 и может пилить международную помощь как душе угодно. Также появляется возможность натаскать лояльных украинцев для будущей аннексии Галичины. Ну и последним пунктом профита является естественная утилизация беженцев, проедающих государственные ресурсы и требующих постоянной поддержки - дешевле один раз одеть и отправить на смерть .",No
58,"Рассчитываю на чистоплотность коллег, которые не будут рекламировать этих говноедов. Ни я, ни, уверен, Стешин, к этому дерьмищу отношения не имеем. И, разумеется, никакое сообщество военкоров никакие закрытые каналы при поддержке Минобороны не создавало.

@sashakots",No
59,✅В ВС Белоруссии поступят комплексы «Искандер» и ЗРС С-400** **— Минобороны cтраны,No
60,"🇷🇺🇺🇦 ВС РФ в Херсоне.

@warjournaltg",No
61,"**Сообщается, что на видео момент уничтожения вражеского Су-25 в Харьковской области

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
62,"❗️Военнослужащий Народной милиции ЛНР впервые за 8 лет встретился с матерью в освобожденном Светлодарске (ДНР).

@warjournaltg",No
63,"**🔴DAILY REPORT WITH KEY NEWS🔴**

**Available on Medium:**

**🇬🇧**[**English**](https://medium.com/p/faec6ce1f7e7)
**🇺🇦**[**Ukrainian**](https://medium.com/p/af24183a08ed)
**🇩🇪**[**German**](https://medium.com/p/76428a380ba5)
**🇫🇷**[**French**](https://medium.com/p/5079fd913fc6)** 
🇪🇸**[**Spanish**](https://medium.com/p/5b6174f37d97)
**🇷🇸**[**Serbian**](https://medium.com/p/6322040f7c95)
**🏳**[**Russian**](https://medium.com/p/341c62321ef6)** **

**Please share our recap with all of your friends and colleagues**",No
64,"**Так вот, кто на самом деле спонсор ""бавовны"" в Белгороде🤫

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
65,"Индус попытался запустить салюты с рук. 

Получилось красиво, но смертельно",No
66,"Мобилизованные из Якутии проходят подготовку на одном из полигонов.

💤Достойный обвес 🫡🇷🇺",No
67,"**ВСУ планируют атаку на Балаклею в Харьковской области**

**По данным ""Иди и смотри"",**  в направлении Балаклеи отправлены иностранные наемники и нацисты из ""Кракена"".

__💬""Будут пытаться пробиться ближе к городу"",__ - рассказал источник канала.

Балаклея была занята российскими войсками еще в первый месяц специальной военной операции и в дальнейшем служила форпостом на линии фронта. 

Важность Балаклеи заключалась в огромных складах боеприпасов.

@smotri_z",No
68,"📍 **Орлянка на Сватівському напрямку досі під контролем ворога

**Першого листопада з'явилося відео підриву нашої БМП на мінній доріжці і були повідомлення про бої в районі села. На жаль, на свіжих кадрах ворог перебуває в селі і біля того злощасного підриву на міні, де так і не поховав двох наших загиблих бійців.

🇺🇦 deepstatemap.live/#15/49.6857/37.9157

[Магазин](https://deepstateua.shop/)🛑[Блог](https://deepstateua.com/)🛑[Мапа](https://deepstatemap.live/)🛑[Написати нам](http://t.me/newsDeepStatebot)🛑[Звіти](https://help.deepstateua.com/)🛑[ЗСУHelp](https://t.me/help_deepstateua)",No
69,🚀👋В Киеве снова объявлена воздушная тревога,No
70,Бойцы 3-й бригады НМ ДНР уничтожают опорный пункт ВСУ из ПТРК,No
71,"В освобожденном Благодатном (Николаевское направление). ""Контрнаступление ВСУ на Херсон"" идет в обратном направлении.

Видео - ТК ""Звезда""",No
72,"Сообщают о взрывах во Львовской области. Я бы на месте украинских СМИ эту новость переводил еще и на польский. Чтобы трактора попрятать успели

@Makarr80",No
76,"⚡️ **Брифинг Минобороны России** (27.05.2022 г.)       
      
◽️ **Вооруженные Силы Российской Федерации продолжают специальную военную операцию на Украине**.
 
💥 Высокоточными ракетами воздушного базирования ВКС России в районе населенного пункта** Бахмут **Донецкой Народной Республики нанесен удар по позициям 10-й отельной горной штурмовой бригады ВСУ. Поражены **семь** командно-наблюдательных пунктов и **тринадцать** районов сосредоточения живой силы и военной техники.

◽️Также, в районе **Барвенково** уничтожены **пусковая установка** зенитного ракетного комплекса «Бук-М1» и **радиолокатор** подсвета и наведения украинского зенитного ракетного комплекса С-300.

◽️Кроме того, в районе** Гусаровки** Харьковской области уничтожена украинская **радиолокационная станция** наведения и целеуказания ПВО.
 
💥 Оперативно-тактической и армейской авиацией поражены **44** района сосредоточения живой силы и украинской военной техники. В результате ударов авиации уничтожены более **250-ти националистов**, выведены из строя** 84 **единицы вооружения и военной техники, в том числе **девять **танков, **пять** установок реактивной системы залпового огня «Град», **десять** орудий полевой артиллерии и **22** автомобиля различного назначения.

◽️ Кроме того, в районе населенного пункта **Спорное** Донецкой Народной Республики и **Барвенково **Харьковской области уничтожены **два** склада боеприпасов.
 
💥 Российскими средствами противовоздушной обороны над населенным пунктом** Беляры** Одесской области сбит **один** самолет МиГ-29 воздушных сил Украины.

◽️Кроме того, в районах населенных пунктов **Липцы, Балаклея, Малые Проходы, Глубокое, Глинское** Харьковской области, **Ямполь, Масляковка, Васильевка** Донецкой Народной Республики уничтожены **восемь **украинских беспилотных летательных аппаратов, а также перехвачена **одна **украинская баллистическая ракета «Точка-У» в районе **Сватово** Луганской Народной Республики.

💥Ракетными войсками и артиллерией поражены **77** пунктов управления подразделений ВСУ, **412** районов сосредоточения живой силы и военной техники, а также **53** артиллерийских огневых позиций. В районе населенного пункта **Завгороднее** Харьковской области в результате удара по понтонной роте** сорвана очередная попытка наведения понтонной переправы ВСУ через реку Северский Донец**.
 
📊 **Всего** с начала проведения специальной военной операции уничтожены: **180** самолетов, **127** вертолетов, **1027 **беспилотный летательный аппарат,** 324 **зенитных ракетных комплекса, **3281** танк и других боевых бронированных машин, **438** установок реактивных систем залпового огня, **1693** орудия полевой артиллерии и миномета, а также **3218** единиц специальной военной автомобильной техники.
  
#Минобороны #Россия #Украина @mod_russia",No
77,Всушники подорвали последний мост соединявший центральную часть Бахмута (Артёмовск) с восточной частью города. Видимо готовятся к обороне в центре.,No
78,Сообщают о взрывах в Днепропетровске 💥 Объявлена воздушная тревога.,No
79,"**Россияне, которых не выпускают из РФ, прут через границу нелегалами. **На фото партия бегущих от мобилизации на границе с Казахстаном.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
80,🇸🇰🇷🇺🇺🇦 Словакия передала Украине еще две новые гаубицы Zuzana 2.,No
81,"‼️🇺🇦🏴‍☠️Боевики ВСУ в окопах на фронте у Артемовска
Украинские паблики публикуют фото. Видно, что ВСУшникам там приходится не сладко, по колено в воде и грязи.

Украинские траншеи тут похожи на окопы Первой мировой

**💤Мы же вам говорим! Это СВИНЬИ! Вонючие грязные СВИНЬИ!**",No
82,"Знамя Победы над Изюмом. Скоро будет большой материал. 

@epoddubny",No
84,"Четверо ошалевших жителей Иркутской области устроили жёсткое ДТП с грузовиком

Авария произошла в городе Черемхово. ""Четырка"" несколько раз перевернулась после столкновения. По информации свидетелей, водитель и пассажиры, которые были поголовно пьяны, чудом остались живы, их госпитализировали.",No
85,"**Референдум в Мелитополе: cтудентка МГУ о своем первом в жизни голосовании.

**В настоящее время на территории Запорожской области проходит референдум о присоединении региона к России.",No
86,"**⚡️Чарльз III официально провозглашен королем Великобритании

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
87,"Хотите хохму?

У Евгения Пригожина есть три ""звёзды"". А именно, звезда героя России, а также ДНР и ЛНР. 

После присоединения ДЛНР к РФ, все эти три награды будут уравнены друг с другом. А по статуту, за такое в Петербурге нужно будет памятник ставить. Ну или улицу переименовывать. 

А теперь представьте себе скучное лицо Александра Беглова. 

https://t.me/colonel_cassad/106405",No
88,"**Обстановка в Сватово с места событий: дорога на Кременную контролируется нашей армией, фронт находится в нескольких километрах от города, жители частично эвакуируются

**Военкор Readovka Кирилл Имашев приехал в русский город Сватово и выяснил, какая в нем реальная обстановка на данный момент. Несмотря на панические слухи, **дорога Сватово-Кременная контролируется русской армией.** Естественным образом по ней могут работать вражеские ДРГ, артиллерия, но дорога используется в обычном режиме.

По Сватово не работает украинская артиллерия — это говорит о том, что **артподготовки контрнаступления пока не проводится, и фронт находится в нескольких километрах от города.** То же самое подтверждают и военные, с которыми нашему военкору удалось пообщаться на месте.

Тем не менее, нет причин думать, что ВСУ оставят попытки наступать на город. **Часть местных жителей, понимая это, уезжает из Сватово в отдаленные от фронта города России:** Старобельск, Луганск, Белгород и другие. Однако многие сватовцы остались в городе и продолжают обычную жизнь: гуляют, ходят в магазины и надеются, что Россия здесь действительно навсегда.",No
91,"Вашингтон пригрозил Бейруту санкциями за пролет БПЛА ""Хезболлы"" над газовым месторождением ""Кариш"". Напомним, что ранее ПВО Израиля [сбили](https://t.me/directorate4/12868) несколько разведывательных аппаратов ""Хезболлы"". Сразу после этого Израиль обратился к Франции с просьбой оказать давление на Ливан и не допустить угрозы развертываемой на ""Карише"" добыче газа. Теперь к этим усилиям подключились США. 

Месторождение находится в спорной зоне и Израиль считает, что право на извлечение углеводородов на ""Карише"" принадлежит ему. Ливан же придерживается противоположной точки зрения. Как бы то ни было, но Тель-Авив уже умудрился договориться с ЕС о поставках газа с ""Кариша"". С учетом складывающейся обстановки, ЕС и США трепетно относятся к любым угрозам срыва поставок энергоресурсов. При этом легальная сторона проблемы отходит для них второй план, когда речь заходит о материальной выгоде.",No
92,🇰🇵Траектория сегодняшнего пуска северокорейской баллистической ракеты.,No
93,"⚡️Два очень мощных взрыва в Киевском районе Донецка.

@voenkorKotenok",No
94,"**Турция нанесла воздушный удар в рамках операции ""Коготь-меч"" по базам курдской вооруженной организации YPG в Ираке и Сирии

**В МО Турции [заявили](https://www.aa.com.tr/en/middle-east/turkiye-conducts-air-operation-against-pkk-ypg-terror-targets-in-northern-syria-northern-iraq/2743027), что операция проводилась в соответствии с правом на самооборону, вытекающим из статьи 51 Устава ООН(самооборона).

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
95,"В Йемене силы ПВО шиитского движения ""Ансар Аллах"" сбили разведывательно-ударный БПЛА Vestel Karayel турецкого производства. Принадлежащий ВС Саудовской Аравии дрон упал в провинции Хадджа. Всего на вооружении королевства было около пяти подобных беспилотников. С марта 2022 года две саудовские компании начали производство Karayel-SU по лицензии Турции.",No
96,"Не заметил сразу. Коц, оказывается, еще [25 ноября писал](https://t.me/sashakots/37336), что на Сватовском рубеже решение об открытии огня принимает командир батареи, получив данные напрямую от разведки.  Открытие огня через несколько минут после засечения цели. Значит, общепринятая практика, т.к. я [писал про Южный фронт](https://t.me/RSaponkov/4151).",No
97,**🚀****💥****🔥****Серия взрывов в Никополе!!! Детонирует склад БК!**,No
98,"✅«Неважно, кто выиграет, ФИФА уже проиграла». Вот так порвало ублюдка Зеленского из-за того, что ему не дали выступить перед финалом чемпионата.

✅**Предлагаю ФИФА ответить так: ""Не важно, кто выиграл на чемпионате мира по футболу, Зеленский все равно сосёт Российский хуй"".**",No
99,"**Ну что, не так давно вышло наше **[**интервью с военкорами новой школы**](https://youtu.be/T46ZjcFizbU), а в конце был вот такой ролик. Соединяющий в себе и Симонова, и отцов современной военной журналистики, и новые имена. 

На видео запечатлены:
[Семён Пегов](https://t.me/wargonzo)
[Александр Коц](https://t.me/sashakots)
[Андрей Филатов](https://t.me/FilatovCorr)
[Валентин Некенов](https://t.me/neknotes)
[Кирилл Имашев](https://t.me/ImashevNB) 
[Владлен Татарский](https://t.me/vladlentatarsky)
[Аким Апачев](https://t.me/akimapachev) 
[Ростислав Журавлёв](https://t.me/nezhurka)
[Дмитрий Селезнёв](https://t.me/oldminerkomi)
[Влад Зиздок](https://t.me/gonzoop)
[Дмитрий Астрахань](https://t.me/astrahandm)
[Глеб Эрвье](https://t.me/gleberve)",No
100,"⏺😂 Мой комментарий для канала AL ARABIYA. Тема: удары по украинской критической инфраструктуре.

КРАТКИЙ ПЕРЕВОД: # Сейчас наблюдается сильное давление со стороны Соединенных Штатов Америки на Россию, с целью заставить  завершить процесс тайных переговоров между ней и американской стороной.

# Давление происходит за счет большой экспансии НАТО в странах Восточной Европы, Балтики и Черного моря, а также за счет обеспечения Украины новейшим оружием.

# Все военные успехи, которые заявляет Украина.  Это временная военно-политическая пропаганда.  Его цель — обезболить граждан Украины.  Это потому, что мы близки к очень суровой и холодной зиме.

# Все российские удары по энергетической инфраструктуре на Украине, являются средством давления на украинское правительство, для того, чтобы оно пошло на переговоры. Сегодня Украина имеет оружие, способное поражать цели глубоко на территории России .  Образно говоря. Сейчас идет стадия «кусания пальцев и перелома костей».  Каждая из сторон навязывает свои условия.  Уравнение позиций не подходит для двух стран.  Каждая из сторон выставляет свои условия для переговоров, если они не будут выполнены, непрерывное убийство будет продолжаться..",No
101,"**Украинский депутат-олигарх Герега, выступающий против РФ, спонсирует ВСУ на деньги крымчан — ему все еще принадлежит сеть крупнейших гипермаркетов в Крыму «Новацентр» 

**До 2014 года депутат Верховной Рады миллиардер Александр Герега и его супруга — экс-секретарь Киеврады при Януковиче Галина Герега владели сетью строительно-хозяйственных гипермаркетов «Эпицентр». Два гипермаркета располагались в Севастополе, еще два — в Симферополе. 

Когда семейству стало «неприлично» иметь бизнес на полуострове, между ними и российским бизнесом появилось несколько фирм-прокладок через кипрские офшоры. Герега является владельцем пяти кипрских компаний, одна из них Edlagor Enterprises Limited — владеющая сетью «Новоцентр». В том же 2014 году вывеска на гипермаркетах в Крыму сменилась на «Новоцентр». Во Львове «Эпицентр» сохранил старое название.

Сеть является крупнейшим налогоплательщиком в Севастополе и Симферополе — в 2021 году выручка компании составила 7,2 млрд руб. На предприятии работает 1,5 тыс человек, ежедневно гипермаркет посещает сотни крымчан. У супругов два крупных особняка в Италии, а Александр входит в шестерку богатейших предпринимателей Украины. При этом Герега открыто заявляет, что спонсирует большинство нацистских батальонов Украины. 

Руководитель компании тоже заслуживает внимания — с 2020 года гендиректором назначен крупный крымский предприниматель Виктор Банников, а владельцем 1% «Новацентра» является Леонид Пияк. Оба придерживаются яркой антироссийской позиции и не скрывают этого. Их дети работают в контрольно-надзорных органах Украины.",No
102,"✅✅✅В течение суток ВС РФ наносили удары по объектам военного управления и системы энергетики Украины, цели достигнуты, все объекты поражены — Минобороны РФ",No
104,"Видео с уничтоженной бронетехникой ВСУ в Херсонской области. 

Можете увидеть поставленную из Словении югославскую БМП M-80A, британский бронеавтомобиль Husky TSV и нидерландский БТР YRP-765.",No
105,"ВСУ весь вечер долбят по Пантелеймоновке из 155-мм артиллерии. Также фиксируются тяжелые прилеты по Донецку, Макеевке и Ясиноватой.

@voenkorKotenok",No
106,Мобилизованные из Карачаево-Черкессии,No
108,"КИЕВОМ УПРАВЛЯЮТ ТЕРРОРИСТЫ. ШТАБ ЧФ В СЕВАСТОПОЛЕ АТАКОВАН УКРАИНСКИМ БЛА. 

Привыкать надо. Ждать всегда и везде. Пока хоть метр украинской земли останется под контролем Запада мы будем под угрозой любой атаки. 

Мужики, черноморцы, вы прекрасно воевали и воюете с врагом, буквально. Выше головы, с Праздником вас не смотря ни на что.  

https://t.me/vestiru24/38079",No
109,Есть попадание на киевщине.,No
112,"Путин обратился к ВСУ:

«Не позволяйте бандеровцам и неонацистам использовать ваших детей, жен и стариков в качестве живого щита. Берите власть в свои руки, похоже, нам с вами будет легче договориться».

@epoddubny",No
113,Ровно и Кривой Рог так же вибухи.,No
114,"**Киевское метро во время масштабной воздушной тревоги. Люди работают даже несмотря на летящие ракеты

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
117,"Кадры сегодняшнего, ночного прилета по заводу «Мотор Сич» в Запорожье.",No
118,💥Взрывы в Запорожье. Объявлена воздушная тревога,No
119,"**🚑 Київ: номери телефонів для виклику швидкої допомоги на випадок перебоїв у роботі лінії 103

**❗️Департамент охорони здоров'я КМДА надає перелік номерів телефонів для виклику швидкої допомоги на випадок перебоїв у роботі лінії 103.

▫️ 0672481446

▫️ 0672481439

▫️ 0672481438

▫️ 0672481436

▫️ 0672481437

▫️ 0672481435

▫️ 0672481434

▫️ 0672481403

▫️ 0674116176",No
120,"Помните разгон по пабам о мисс Крым 2022? 

Не берём в расчёт то, что она уебищная. Это мелочи. 
Видео к просмотру для понимая что она не только внешне уебище.",No
121,"**‼️В Европе произошла драка с участием бешенки из Украины. 
**
Оксана пришла на благотворительный вечер для украинских детей. После окончания мероприятия, она попыталась украсть стул, мотивируя тем ,что ей стул нужнее, а в предоставленном государством жилье есть только один стул. Охранник оказался не терпилой, как Мыкола и показал бешенке, что брать чужое нельзя.

Видео смотрите до конца

[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",No
122,"Из Днепропетровска: «Хреначат ракетами по всему Днепру. Насчитал 6 прилетов. Лупят по Жд крепко».

@sashakots",No
123,"**Жителям Волыни и Ровенщины тоже можно выдохнуть. Глава Ровенской ОВА заявил, что никакой угрозы со стороны Беларуси сейчас нет и никаких изменений на границе не наблюдается

**""[Отдых на месяц](https://t.me/ukrinformator/28600)"" отменяется.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
125,"**Невероятные фото ночного Киева в практически полной темноте
**
[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)",No
126,"Американские военно-промышленные компании очень довольны положением дел в Европе и рассчитывают получать все больше прибыли в долгосрочной перспективе.

Особенно хорошо потрясли бюджет США две ВПК - Lockheed Martin и Raytheon: доходы этих военных конгломератов за 2021 год 64 и 67 миллиардов долларов соответственно. В этих суммах сидит и оплата за Stinger и Javelin, отправленные Вашингтоном в Киев. 

С учётом обещаний Байдена предоставить Украине оборонную помощь на $1 млрд, американские ВПК в накладе не останутся.

Гендиректор Raytheon Грег Хейс: «__Рост напряженности в Азии, на Ближнем Востоке и в Восточной Европе приведет к увеличению продаж на международном рынке вооружений в 2022 году и далее». __

Его поддерживает и исполнительный директор Lockheed Martin Джеймс Тайклет: «__Мы видим новый виток конкуренции между великими державами, который приведет к увеличению военных расходов США». __

Аналитики, дружественные американским ВПК, поддерживают их оптимистичные настроения. 

Беркет Хау из Morningstar Financial Services: «__Война на Украине в некотором роде меняет геополитический порядок, впервые за последние 30 лет. Люди начинают понимать, что в значительной степени мир больше не является безопасным, и поэтому возникнет необходимость увеличить инвестиции в оборонную продукцию».__

Как говорится - ничего личного, просто бизнес. 

@epoddubny",No
127,"‼️🇷🇺💥 **""Грады"" нанесли сокрушительный удар по расположению украинских нацистов на Лиманском направлении

**РСЗО ""🅾️тважных"" отработали по району, в который стягивалась бронетехника украинских боевиков, готовящихся для совершения попытки прорыва Сватовско-Кременского оборонительного рубежа.

💤Красавцы 🇷🇺

[Конфликт🔥Z Подписаться](https://t.me/konfliktworld)",No
128,"МО РФ: Запуск морских БПЛА, атаковавших Севастополь, осуществлялся с побережья в районе Одессы, после чего аппараты двигались через зону безопасности ""зернового коридора"".

В настоящий момент обломки аппаратов, в т.ч. навигационные модули, подняты на поверхность.

@voenkorKotenok",No
129,"Знаете, что это? Это лицо нынешней армянской власти, которую никак не ассоциировать с армянским народом. Нашли [идиотов](https://t.me/ArmenianVendetta/24230) и поставили еще и детей впереди.

Если это норма, то это расставание с совестью, тогда готовьтесь расстаться и с чем-то другим.
Амот дзез!",No
131,Артиллеристы 4 бригады 2 АК ЛНР работают по позициям ВСУ в районе Берестового.,No
132,"❗️Сергей Аксенов: после того, как освобожденные территории войдут в состав России, специальная военная операция станет **контртеррористической**.

@voenkorKotenok",No
133,Работа САУ Гиацинт-С по украинским позициям💪,No
134,"Так минувшим вечером выглядел Харьков. **Пока** отключения плановые.

@voenkorKotenok",No
135,"❗️Возможны «осадки» 

💥 **Боевая работа расчетов РСЗО «Град» ЗВО при выполнении огневых задач по уничтожению объектов и позиций ВСУ в зоне проведения специальной военной операции 

**◽️ Получив данные средств артиллерийской разведки и расчетов беспилотных летательных аппаратов, батарея РСЗО «Град» осуществила выдвижение, занятие огневой позиции и нанесение удара по выявленным объектам ВСУ.",No
137,"🇷🇺🇺🇦💡 **Ещё один удар в Кировоградской области пришёлся по подстанции 330/154/35кВ «Побужская».
**
Точные координаты выведенного из строя автотрансформатора: 48.145680, 30.612602

Как мы и говорили, сегодняшние удары ставят целью отсечение Ровенской АЭС и запада Украины от энергокольца 330кВ.

Но есть важный момент: задействовать резервные схемы ещё можно. Несмотря на то, что выводят из строя трансформаторы, часть из них ещё целая. И со временем электричество пусть со скрипом, но вернётся.
#Кировоград #Россия #Украина #электричество
@rybar

*Поддержать нас: 4377 7278 0407 7977",No
138,"**Лучшие Кизлярские изделия и не только 👉** [ТУТ

](https://t.me/+NSD0m_K7nVA5ZDVi)**🔥🔪Лучшие подарки для мужчин, огромный выбор:

**[▪️Ножи любого формата▪️Топоры▪️Кинжалы ▪️Катаны ▪️И даже мечи](https://t.me/+NSD0m_K7nVA5ZDVi) 

**Доставим в любую точку мира!

Постоянным клиентам дарим подарки! 🎁

Переходим по ссылке снизу, смотрим и выбираем👇👇👇
**https://t.me/+NSD0m_K7nVA5ZDVi
https://t.me/+NSD0m_K7nVA5ZDVi
https://t.me/+NSD0m_K7nVA5ZDVi",No
139,"⚡️🚇**Станція «Теремки» зачинена на вхід та вихід для пасажирів у зв’язку із задимленням у підземному переході
**
На місце викликано всіх необхідних фахівців. 

Про відкриття станції буде повідомлено додатково.",No
